SessionID,Date,Start,End,Duration,ConsultantID,Specialty,DurationNew
1,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,675
2,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,510
3,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,620
4,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
5,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,615
6,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
7,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
8,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
9,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
10,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
11,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
12,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
13,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
14,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
15,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
16,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
17,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
18,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
19,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
20,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
21,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
22,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
23,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
24,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
25,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
26,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
27,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
28,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
29,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
30,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
31,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
32,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
33,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
34,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
35,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
36,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
37,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
38,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
39,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
40,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
41,5/7/2023 0:00,7:00:00,18:00:00,675,11,Ophthalmology,600
